0.165,31.611,34.463,37.354,37.447,36.043,37.813,34.27,29.853,21.132,22.179,22.438,22.288,22.481,22.271,21.789,20.7,20.874,21.551,21.811,21.963,21.724,21.311,21.202,20.436,20.59,20.985,20.851,21.093,21.201,20.721,20.502,19.97,20.226,20.59,20.558,20.362,20.589,20.441,19.973,19.675,19.614,20.186,20.25,20.245,20.039,20.009,19.617,19.116,19.615,19.774,19.703,19.84,19.794,19.597,19.454,18.83,19.116,19.28,19.454,19.498,18.794,19.008,18.973,18.524,18.916,18.991,19.027,18.812,18.884,18.758,18.615,18.639,18.982,19.17,18.866,18.669,18.395,18.507,18.669,18.198
0.182,31.881,35.016,37.727,38.63,36.836,38.539,34.616,30.52,21.181,22.201,22.417,22.46,22.567,22.443,21.811,20.743,21.268,21.638,21.811,22.05,21.789,21.506,21.29,20.546,20.568,20.985,20.928,21.093,21.267,21.006,20.612,20.068,20.265,20.612,20.558,20.479,20.589,20.441,19.951,19.754,19.597,20.343,20.233,20.245,20.039,20.009,19.636,19.169,19.616,19.774,19.721,19.951,19.931,19.597,19.489,18.848,19.116,19.3,19.419,19.498,18.848,19.026,18.991,18.542,18.9,19.027,19.081,18.812,18.949,18.74,18.687,18.64,18.998,19.17,18.866,18.687,18.427,18.543,18.74,18.231
0.199,32.082,35.244,38.613,38.999,37.323,39.221,35.207,30.818,21.628,22.244,22.417,22.503,22.632,22.541,21.854,20.853,21.203,21.66,21.833,22.05,21.963,21.55,21.29,20.59,20.634,21.05,21.045,21.115,21.333,21.181,20.7,20.166,20.343,20.656,20.577,20.695,20.655,20.441,20.083,19.794,19.632,20.382,20.251,20.264,20.017,20.028,19.676,19.187,19.734,19.774,19.738,19.951,19.97,19.615,19.489,18.955,19.009,19.26,19.419,19.458,18.848,19.044,18.937,18.542,18.949,19.009,19.009,18.812,18.933,18.74,18.705,18.672,18.998,19.152,18.884,18.687,18.476,18.542,18.65,18.264
0.216,32.038,35.225,38.67,39.532,37.891,39.551,35.321,31.469,21.579,22.287,22.761,22.697,23.061,22.739,22.244,21.158,21.159,21.769,22.072,22.18,21.984,21.681,21.333,20.546,20.787,21.137,21.064,21.181,21.224,21.268,20.722,20.205,20.303,20.831,20.558,20.714,20.677,20.636,20.149,20.028,19.614,20.382,20.251,20.264,19.995,20.028,19.597,19.241,19.754,19.971,19.844,19.973,20.128,19.809,19.454,18.955,18.973,19.339,19.401,19.478,18.794,19.044,18.955,18.56,18.933,19.026,19.063,18.937,18.916,18.83,18.776,18.77,19.143,19.152,18.884,18.705,18.476,18.542,18.632,18.297
0.234,32.06,35.454,39.019,39.514,38.137,39.878,36.118,31.448,22.001,22.546,22.847,23.04,23.19,22.886,22.631,21.158,21.203,21.747,22.05,22.18,21.984,21.768,21.442,20.699,20.787,21.116,21.201,21.528,21.421,21.312,20.766,20.284,20.284,20.699,20.792,20.734,20.743,20.734,20.304,19.911,19.65,20.421,20.339,20.225,19.995,20.421,19.636,19.241,19.754,19.951,19.898,19.973,20.128,19.844,19.472,18.92,18.991,19.28,19.383,19.498,18.919,19.187,18.955,18.578,18.998,19.009,19.063,18.919,18.916,18.83,18.794,18.786,19.111,19.188,18.884,18.759,18.542,18.722,18.668,18.297
0.251,32.082,35.531,39.166,39.659,38.195,39.879,36.212,31.628,22.075,22.654,22.933,23.296,23.296,22.91,22.89,21.399,21.159,21.769,22.072,22.18,22.093,21.551,21.442,20.699,20.787,21.181,21.22,21.528,21.637,21.333,20.831,20.363,20.421,20.7,20.87,21.123,20.809,20.792,20.238,20.01,19.703,20.362,20.339,20.304,20.039,20.5,19.774,19.312,19.754,19.932,19.898,19.973,20.108,19.88,19.489,18.92,19.027,19.28,19.401,19.28,18.991,19.187,18.919,18.596,18.998,19.027,19.099,18.919,18.9,18.866,18.812,18.655,19.208,19.241,18.937,18.83,18.591,18.74,18.902,18.362
0.267,32.105,35.245,39.111,39.623,38.194,39.921,36.193,31.743,22.05,22.954,22.976,23.467,23.53,23.981,22.933,21.529,21.138,21.725,22.093,22.438,22.093,21.766,21.659,20.895,20.919,21.203,21.201,21.572,21.637,21.399,20.853,20.323,20.499,20.831,20.967,21.123,21.115,20.986,20.37,20.088,19.703,20.46,20.532,20.323,20.172,20.519,20.225,19.33,19.735,20.01,19.915,20.127,20.147,19.862,19.525,18.955,19.098,19.26,19.365,19.419,18.919,19.134,18.937,18.596,18.965,19.116,19.152,18.937,18.916,18.883,18.812,18.655,19.208,19.259,18.955,18.83,18.574,18.722,18.884,18.379
0.284,32.105,35.283,39.111,39.569,38.115,40.049,36.175,31.779,22.223,22.996,23.04,23.446,23.764,24.005,23.018,21.529,21.138,21.79,22.05,22.46,22.093,21.918,21.659,20.895,20.897,21.203,21.394,21.659,21.637,21.398,20.853,20.323,20.597,21.028,21.084,21.064,21.203,21.025,20.48,20.088,19.703,20.46,20.585,20.48,20.15,20.558,20.245,19.33,19.991,20.01,19.88,20.083,20.167,19.862,19.543,18.955,19.152,19.339,19.347,19.438,18.973,19.134,18.919,18.542,18.965,19.062,19.17,18.955,18.981,18.883,18.865,18.671,19.128,19.277,18.991,18.83,18.59,18.704,18.884,18.444
0.3,32.15,35.244,39.129,39.934,38.419,39.908,36.888,32.182,22.346,23.446,23.211,23.765,24.167,24.345,23.488,21.703,21.159,21.942,22.05,22.568,22.093,22.048,21.768,20.983,21.094,21.225,21.587,21.616,21.616,21.334,21.18,20.323,20.597,20.984,21.161,21.123,21.203,21.006,20.524,20.107,19.738,20.499,20.568,20.539,20.194,20.558,20.206,19.49,19.971,20.05,19.968,20.083,20.108,20.039,19.543,18.991,19.116,19.32,19.347,19.419,18.92,19.134,18.919,18.56,18.965,19.098,19.17,18.955,19.014,18.901,18.83,18.688,19.128,19.295,19.063,18.83,18.59,18.722,18.919,18.46
0.317,31.971,35.13,38.836,39.787,38.195,39.91,36.907,32.144,22.517,23.467,23.659,24.02,24.358,24.491,24.082,22.457,21.268,22.093,22.115,22.675,22.201,22.177,21.79,20.983,21.116,21.247,21.588,21.638,21.594,21.573,21.18,20.401,20.518,21.028,21.181,21.258,21.225,21.006,20.612,20.245,19.738,20.519,20.586,20.811,20.282,20.578,20.206,19.525,20.049,20.148,20.074,20.172,20.166,20.021,19.578,19.08,19.188,19.34,19.33,19.478,18.92,19.169,19.009,18.614,18.965,19.098,19.17,18.99,19.192,18.883,18.865,18.704,19.144,19.241,18.991,18.901,18.59,18.776,18.973,18.411
