frame,abstime,reltime,Tow 1 [C],Tow 2 [C],Tow 3 [C],Tow 4 [C],Tow 5 [C],Tow 6 [C],Tow 7 [C],Tow 8 [C]
57,2019-06-27 14:49:00.109000,1.933000,3.565736e+02,2.019441e+02,4.294869e+02,2.722589e+02,3.782308e+02,2.193229e+02,3.900049e+02,1.325168e+02
58,2019-06-27 14:49:00.143000,1.967000,3.578000e+02,2.019260e+02,4.206990e+02,2.518561e+02,3.785573e+02,2.120683e+02,3.922649e+02,1.315845e+02
59,2019-06-27 14:49:00.176000,2.000000,3.582460e+02,2.053038e+02,4.253003e+02,2.530426e+02,3.833621e+02,2.065281e+02,3.940181e+02,1.315398e+02
60,2019-06-27 14:49:00.210000,2.034000,3.573737e+02,2.053422e+02,4.287153e+02,2.969244e+02,3.796473e+02,2.013664e+02,3.932543e+02,1.310870e+02
61,2019-06-27 14:49:00.243000,2.067000,3.553632e+02,2.028307e+02,4.120549e+02,2.910665e+02,3.760229e+02,1.987727e+02,3.911265e+02,1.304126e+02
62,2019-06-27 14:49:00.276000,2.100000,3.533257e+02,1.994875e+02,4.026592e+02,2.630229e+02,3.747564e+02,1.976787e+02,3.848562e+02,1.299062e+02
63,2019-06-27 14:49:00.309000,2.133000,3.520522e+02,1.946343e+02,3.928817e+02,2.716156e+02,3.740631e+02,1.986315e+02,3.857220e+02,1.296527e+02
64,2019-06-27 14:49:00.343000,2.167000,3.539534e+02,1.934529e+02,3.913319e+02,2.641895e+02,3.739658e+02,1.986356e+02,3.877237e+02,1.309163e+02
65,2019-06-27 14:49:00.376000,2.200000,3.550118e+02,1.930078e+02,3.848956e+02,2.628033e+02,3.766006e+02,2.007719e+02,3.898127e+02,1.248768e+02
66,2019-06-27 14:49:00.410000,2.234000,3.537078e+02,1.898530e+02,3.837010e+02,2.401188e+02,3.795511e+02,1.986059e+02,3.894749e+02,1.198097e+02
67,2019-06-27 14:49:00.443000,2.267000,3.567824e+02,1.900909e+02,3.785065e+02,2.332239e+02,3.803680e+02,2.170518e+02,3.921684e+02,1.181979e+02
68,2019-06-27 14:49:00.476000,2.300000,3.563893e+02,1.889641e+02,3.792875e+02,2.312927e+02,3.811248e+02,2.064543e+02,3.948378e+02,1.156799e+02
69,2019-06-27 14:49:00.509000,2.333000,3.653803e+02,1.872173e+02,3.818169e+02,2.247791e+02,3.876707e+02,2.142564e+02,3.970726e+02,1.117459e+02
70,2019-06-27 14:49:00.543000,2.367000,3.691475e+02,1.880737e+02,3.679987e+02,2.172721e+02,3.812773e+02,1.952958e+02,4.003552e+02,1.104141e+02
71,2019-06-27 14:49:00.576000,2.400000,3.595330e+02,1.901452e+02,3.696956e+02,2.189097e+02,3.797948e+02,1.876621e+02,3.984238e+02,1.099538e+02
72,2019-06-27 14:49:00.609000,2.433000,3.506537e+02,1.950368e+02,3.740656e+02,2.324951e+02,3.814202e+02,1.881756e+02,3.942530e+02,1.106831e+02
73,2019-06-27 14:49:00.643000,2.467000,3.447699e+02,1.984867e+02,3.854966e+02,2.391320e+02,3.830757e+02,2.072913e+02,3.947939e+02,1.179717e+02
74,2019-06-27 14:49:00.676000,2.500000,3.477956e+02,1.973686e+02,3.995186e+02,2.420551e+02,3.845052e+02,2.167300e+02,3.989376e+02,1.182110e+02
75,2019-06-27 14:49:00.709000,2.533000,3.540213e+02,1.980122e+02,4.084989e+02,2.367221e+02,3.886496e+02,1.860949e+02,4.026306e+02,1.145441e+02
76,2019-06-27 14:49:00.743000,2.567000,3.537487e+02,2.000031e+02,4.047111e+02,2.327689e+02,3.881315e+02,1.784659e+02,4.016340e+02,1.143492e+02
77,2019-06-27 14:49:00.776000,2.600000,3.533718e+02,1.967327e+02,4.087955e+02,2.219531e+02,3.865931e+02,1.989334e+02,3.985029e+02,1.135359e+02
78,2019-06-27 14:49:00.809000,2.633000,3.558364e+02,1.956248e+02,4.062583e+02,2.345719e+02,3.867266e+02,1.963021e+02,4.050801e+02,1.131540e+02
79,2019-06-27 14:49:00.843000,2.667000,3.620281e+02,1.976806e+02,4.016442e+02,2.351815e+02,3.867123e+02,2.123953e+02,4.050671e+02,1.136745e+02
80,2019-06-27 14:49:00.876000,2.700000,3.595465e+02,1.978590e+02,4.067802e+02,2.283184e+02,3.860451e+02,2.118248e+02,4.087041e+02,1.143310e+02
81,2019-06-27 14:49:00.909000,2.733000,3.531316e+02,1.988989e+02,4.153233e+02,2.261220e+02,3.879094e+02,2.147401e+02,4.115085e+02,1.153222e+02
